kyr_oblast,rus_oblast,oblast,oblast_code,kyr_items,rus_items,items,label,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ысык-Көл облусу,Иссык-Кульская область,Issyk-Kul oblast,kg-yk,Күрүч (иштетилгенден кийинки салмакта), Рис (в весе после доработки) , Rice (weight after reprocessing),rice,,,,,,,,,,,,,0,,,,,,,,,,,,
Ысык-Көл облусу,Иссык-Кульская область,Issyk-Kul oblast,kg-yk, Дан буурчактар (иштетилгенден кийинки салмакта), зернобобовые (в весе после доработки)* , Leguminous (weight after reprocessing),legums,1,1.1,0.5,0.2,0.2,0.07,0.07,0.04,0.09,0.05,0.06,0.2,0.2,0.2,0.4,0.4,0.3,0.5,0.5,1.2,0.3,0.2,0.2,0.02,0.5
Ысык-Көл облусу,Иссык-Кульская область,Issyk-Kul oblast,kg-yk, Кант кызылчасы (фабрикалык),Сахарная свекла (фабричная),Sugar-beet (fabric),sugar_beet,,,1.8,8,1.9,0.3,0.06,,,0.4,,1.7,5,,,,,,,,,,,,
Ысык-Көл облусу,Иссык-Кульская область,Issyk-Kul oblast,kg-yk, Пахта сырьесу (зачеттук салмакта),Хлопок-сырец (в зачетном весе),Сotton  (at recorded weight),cotton,,,,,,,,,,,,,,,,,,,,,,,,,
Ысык-Көл облусу,Иссык-Кульская область,Issyk-Kul oblast,kg-yk, Тамеки (зачеттук салмакта),Табак (в зачетном весе),Tobacco (at recorded weight),tobacco,,,,,0.001,0.03,0.02,0.03,0.07,,,,0.01,,,,,,,,,,,,
Ысык-Көл облусу,Иссык-Кульская область,Issyk-Kul oblast,kg-yk, Май алынуучу өсүмдүктөр,Масличные культуры,Oil-producing crops,oil_crops,,0.08,0.3,0.5,0.8,0.5,0.5,0.3,0.4,1.2,2.3,2.8,1.5,1.5,0.7,0.7,0.5,0.4,0.3,0.3,0.1,0.09,0.1,0.04,0.05
Ысык-Көл облусу,Иссык-Кульская область,Issyk-Kul oblast,kg-yk,Картошка,Картофель,Potatoes,potatoes,,134.9,144.1,132,121,150.1,212.4,248.8,271,369.1,391.2,420,477.6,608.8,595.9,447.3,519.8,569.5,537,564.9,542.3,552.8,487,487.9,499.5
Ысык-Көл облусу,Иссык-Кульская область,Issyk-Kul oblast,kg-yk,Жашылча ,Овощи,Vegetables,vegetables,,20.9,19.5,12.3,16.9,15,19.5,27.5,32,38,44.4,51.3,18.7,23.7,28.9,30.8,32.3,36.3,37.3,40.5,43.3,44.8,37,37.7,35.1
Ысык-Көл облусу,Иссык-Кульская область,Issyk-Kul oblast,kg-yk,Азыктык бакча өсүмдүктөр ,Бахчи продовольственные,Melons,melons,,,,,,,,,,,,,0.002,,,,,,                  ,,,,,,
Ысык-Көл облусу,Иссык-Кульская область,Issyk-Kul oblast,kg-yk,Мөмө-жемиш өсүмдүктөр ,Плоды и ягоды,Fruits and berries,fruits,,26.8,26.8,24.1,20,17.6,11.9,23.7,24.2,22.5,32.2,34.6,40,40.6,40.8,40.9,41.7,42.8,43.3,44.7,35.6,44.9,44.8,46,46.1
Ысык-Көл облусу,Иссык-Кульская область,Issyk-Kul oblast,kg-yk,Жүзүм ,Виноград,Grapes,grapes,,,,,,,,,,,,,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.007,0.002,,,,
Ысык-Көл облусу,Иссык-Кульская область,Issyk-Kul oblast,kg-yk,Эт (тирүүлүй салмакта) ,Мясо (в убойном весе),Meat (at slaughter weight),meat,51.6,29.6,25.7,25.6,23.5,23,24.3,25.4,25.5,24.8,24.6,25.8,26.2,26,21.1,21.1,21.1,21.8,22.7,23.3,23.7,24.1,24.1,23.4,25.9
Ысык-Көл облусу,Иссык-Кульская область,Issyk-Kul oblast,kg-yk,Чийки сүт ,Молоко,Milk,milk,144.9,126.3,111.4,112.4,107.6,107.7,107.8,110.1,120.9,136.4,140.2,144,150.1,150.9,150.5,154.9,156.2,161.4,168.6,175,180.3,181,187.2,192,200.6
Ысык-Көл облусу,Иссык-Кульская область,Issyk-Kul oblast,kg-yk,"Жумуртка, млн. даана ","Яйца, млн. шт.",Eggs (mln pieces),eggs,98.1,71.5,68.8,50.2,15.9,3.3,3.4,5.6,6.6,7.8,9.1,11.1,12.7,27.2,39.3,47.3,53.8,69.7,72.9,73.7,74.7,76.2,72.8,64.4,56
Ысык-Көл облусу,Иссык-Кульская область,Issyk-Kul oblast,kg-yk,Жүн (физикалык салмакта),Шерсть (в физическом весе),Wool (physical weight),wool,6.9,6.7,6,5.4,3.5,3,1.9,1.9,2,2,2.1,2.1,2.1,2.1,2,1.9,2,2,2.1,2,1.8,1.8,1.8,1.9,2
Нарын облусу,Нарынская область,Naryn oblast,kg-na,Дан (иштетилгенден кийинки салмакта),Зерно (в весе после доработки) ,Grains (weight after reprocessing),grains,,164.4,147.4,151.4,78.3,87.8,109,136.6,143.4,121.1,122.6,101.6,98,90.3,96.9,76.9,52.7,58.5,59,69.1,39.4,56.3,48.8,59,39.7
Нарын облусу,Нарынская область,Naryn oblast,kg-na, Буудай (иштетилгенден кийинки салмакта), Пшеница  (в весе после доработки) , Wheat (weight after reprocessing),wheat,,18.6,29.7,52.4,38.3,52.6,82.8,113.3,119,95.3,93.2,77,79.3,62.4,67,55.3,37.4,39.7,41.6,48.9,27.2,36.2,30.4,35.2,24.3
Нарын облусу,Нарынская область,Naryn oblast,kg-na, Арпа (иштетилгенден кийинки салмакта), Ячмень  (в весе после доработки) , Barley (weight after reprocessing),barley,,144.9,117.3,98.9,40,35.1,26,22.9,24,25,28.6,23.7,17.8,27,28.9,20.7,14.5,17.9,16.7,19.5,11.6,19.6,17.9,23.4,14.9
Нарын облусу,Нарынская область,Naryn oblast,kg-na, Дандык жүгөрү, Кукуруза на зерно, Corn,corn,,,0.02,0.01,0.02,0.1,,0.2,0.1,0.3,0.4,0.4,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.4,0.3
Нарын облусу,Нарынская область,Naryn oblast,kg-na,Күрүч (иштетилгенден кийинки салмакта), Рис (в весе после доработки) , Rice (weight after reprocessing),rice,,,,,,,,,,,,,,,,,,,,,,,,,
Нарын облусу,Нарынская область,Naryn oblast,kg-na, Дан буурчактар (иштетилгенден кийинки салмакта), зернобобовые (в весе после доработки)* , Leguminous (weight after reprocessing),legums,0.1,0,0,,,,0,,,0,0,0.1,0.1,0,0,0,0.02,,,,,,,,0.07
Нарын облусу,Нарынская область,Naryn oblast,kg-na, Кант кызылчасы (фабрикалык),Сахарная свекла (фабричная),Sugar-beet (fabric),sugar_beet,,,,0.1,,,,,,0.3,,,,,,,,,,,,,,,
Нарын облусу,Нарынская область,Naryn oblast,kg-na, Пахта сырьесу (зачеттук салмакта),Хлопок-сырец (в зачетном весе),Сotton  (at recorded weight),cotton,,,,,,,,,,,,,,,,,,,,,,,,,
Нарын облусу,Нарынская область,Naryn oblast,kg-na, Тамеки (зачеттук салмакта),Табак (в зачетном весе),Tobacco (at recorded weight),tobacco,,,,0.001,0.001,,,,,,,,,,,,,,,,,,,,
Нарын облусу,Нарынская область,Naryn oblast,kg-na, Май алынуучу өсүмдүктөр,Масличные культуры,Oil-producing crops,oil_crops,,,,0.1,0.09,0.04,0.02,0.07,0.06,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.02,0.01,0.01, - ,0.001
Нарын облусу,Нарынская область,Naryn oblast,kg-na,Картошка,Картофель,Potatoes,potatoes,,3.2,4.2,12.1,12.2,35.5,47.9,73.8,105.7,128.7,131.6,138.3,141.6,114.7,112.7,88.8,89.2,87.1,88.9,88.9,78.2,80.9,81.4,84.2,80.8
Нарын облусу,Нарынская область,Naryn oblast,kg-na,Жашылча ,Овощи,Vegetables,vegetables,,0.5,0.4,0.3,1.7,5.4,6.3,8.2,14.4,22,23.5,25.3,3.5,10.5,9.4,8.6,8.2,6.9,7.6,7.7,6.2,5.7,5.9,5.9,5.7
Нарын облусу,Нарынская область,Naryn oblast,kg-na,Азыктык бакча өсүмдүктөр ,Бахчи продовольственные,Melons,melons,,,,,,,,,,,,,,,,,,,,,,,,,
Нарын облусу,Нарынская область,Naryn oblast,kg-na,Мөмө-жемиш өсүмдүктөр ,Плоды и ягоды,Fruits and berries,fruits,,0.4,0.3,0.001,0,,,,,,,0.2,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Нарын облусу,Нарынская область,Naryn oblast,kg-na,Жүзүм ,Виноград,Grapes,grapes,,,,,,,,,,,,,,,,,,,,,,,,,
Нарын облусу,Нарынская область,Naryn oblast,kg-na,Эт (тирүүлүй салмакта) ,Мясо (в убойном весе),Meat (at slaughter weight),meat,,23,26.6,32.3,29,17.7,19.3,20.4,23.6,25.4,23.4,23.8,24.1,24,24.1,26.6,25.3,24.1,23.3,23.5,23.6,23.1,26.7,24.6,27.6
Нарын облусу,Нарынская область,Naryn oblast,kg-na,Чийки сүт ,Молоко,Milk,milk,57,72.3,69.6,87.6,75.9,74.5,75.8,82.8,99.1,113.8,117.2,122.9,125,126,114.6,114.6,114.9,115.3,115.7,116.2,116.8,117.1,117.2,117.7,117.7
Нарын облусу,Нарынская область,Naryn oblast,kg-na,"Жумуртка, млн. даана ","Яйца, млн. шт.",Eggs (mln pieces),eggs,2.5,12.3,12.4,9.1,7.4,1.6,1.7,2,2.7,3.4,4.8,5.3,5.7,6.1,6.8,6.9,6.9,7,6.8,6.6,6.6,6.6,6.7,6.8,6.9
Нарын облусу,Нарынская область,Naryn oblast,kg-na,Жүн (физикалык салмакта),Шерсть (в физическом весе),Wool (physical weight),wool,8.4,8.3,7.9,7.7,5.5,2.5,2.2,2,2.2,2.1,2,2,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.9,1.9,1.9
